strategy,timeframe,horizon,direction,claimed_signals,claimed_mean,claimed_win_rate,claimed_expectancy,recomputed_n,recomputed_mean,recomputed_win_rate,recomputed_min,recomputed_max,first_signal,last_signal,signal_span_days,data_span_days,params_json,signals_csv
nr7_breakout_with_weekly_silent_top_avoidance,mixed,fwd_10d,long,44,0.744,70.5,0.744,44,0.744,70.5,-9.277,13.71,2005-06-24,2026-01-02,7497,7772,"{""signal"": ""NR7 + range expansion breakout long, avoiding weekly silent-top-exhaustion regimes, with weekly > 10w SMA filter"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 day N-1; day N range>2x prior, close top 30%; prior week NOT silent top exhaustion; weekly close > 10w SMA"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_then_range_expansion_breakout"", ""nr7_expansion_breakout_with_weekly_uptrend_filter"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""filtered"", ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_mixed_nr7_breakout_with_weekly_silent_top_avoidance.csv
nr7_breakout_with_weekly_silent_top_avoidance,mixed,fwd_5d,long,44,0.722,70.5,0.722,44,0.722,70.5,-4.416,3.799,2005-06-24,2026-01-02,7497,7772,"{""signal"": ""NR7 + range expansion breakout long, avoiding weekly silent-top-exhaustion regimes, with weekly > 10w SMA filter"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 day N-1; day N range>2x prior, close top 30%; prior week NOT silent top exhaustion; weekly close > 10w SMA"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_then_range_expansion_breakout"", ""nr7_expansion_breakout_with_weekly_uptrend_filter"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""filtered"", ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_mixed_nr7_breakout_with_weekly_silent_top_avoidance.csv
nr7_breakout_with_weekly_silent_top_avoidance,mixed,fwd_2d,long,44,0.336,65.9,0.336,44,0.336,65.9,-2.999,2.795,2005-06-24,2026-01-02,7497,7772,"{""signal"": ""NR7 + range expansion breakout long, avoiding weekly silent-top-exhaustion regimes, with weekly > 10w SMA filter"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 day N-1; day N range>2x prior, close top 30%; prior week NOT silent top exhaustion; weekly close > 10w SMA"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_then_range_expansion_breakout"", ""nr7_expansion_breakout_with_weekly_uptrend_filter"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""filtered"", ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_mixed_nr7_breakout_with_weekly_silent_top_avoidance.csv
nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality,mixed,fwd_5d,long,37,0.732,64.9,0.732,37,0.732,64.9,-2.451,3.799,2006-01-03,2026-01-02,7304,7772,"{""signal"": ""NR7 + range expansion breakout long with compression-quality filter, weekly uptrend, and silent-top avoidance"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 + tight compression (range in bottom 25% of 20d) + 2x expansion + close top 20% + weekly>10w SMA + no silent top"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_breakout_with_weekly_silent_top_avoidance"", ""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""tightening"", ""nr7_lookback"": 7, ""compression_percentile_lookback"": 20, ""compression_percentile_threshold"": 0.25, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.8, ""weekly_ma_lookback"": 10, ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_mixed_nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality.csv
nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality,mixed,fwd_10d,long,37,0.51,70.3,0.51,37,0.51,70.3,-9.277,5.117,2006-01-03,2026-01-02,7304,7772,"{""signal"": ""NR7 + range expansion breakout long with compression-quality filter, weekly uptrend, and silent-top avoidance"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 + tight compression (range in bottom 25% of 20d) + 2x expansion + close top 20% + weekly>10w SMA + no silent top"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_breakout_with_weekly_silent_top_avoidance"", ""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""tightening"", ""nr7_lookback"": 7, ""compression_percentile_lookback"": 20, ""compression_percentile_threshold"": 0.25, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.8, ""weekly_ma_lookback"": 10, ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_mixed_nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality.csv
nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality,mixed,fwd_2d,long,37,0.414,64.9,0.414,37,0.414,64.9,-2.999,2.795,2006-01-03,2026-01-02,7304,7772,"{""signal"": ""NR7 + range expansion breakout long with compression-quality filter, weekly uptrend, and silent-top avoidance"", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""NR7 + tight compression (range in bottom 25% of 20d) + 2x expansion + close top 20% + weekly>10w SMA + no silent top"", ""exit_condition"": ""forward 1,2,5,10 days"", ""derived_from"": [""nr7_breakout_with_weekly_silent_top_avoidance"", ""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""tightening"", ""nr7_lookback"": 7, ""compression_percentile_lookback"": 20, ""compression_percentile_threshold"": 0.25, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.8, ""weekly_ma_lookback"": 10, ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_mixed_nr7_breakout_with_weekly_silent_top_avoidance_and_compression_quality.csv
nr7_expansion_breakout_with_weekly_uptrend_filter,mixed,fwd_5d,long,41,0.529,63.4,0.529,41,0.529,63.4,-4.729,3.799,2005-06-24,2025-06-20,7301,7772,"{""signal"": ""NR7 + next-day range expansion breakout (long), filtered by weekly uptrend regime (weekly close > 20w SMA and > 4 weeks ago)."", ""entry_timeframe"": ""daily"", ""exit_timeframe"": ""daily"", ""entry_condition"": ""Day N-1 NR7; Day N range > 2x prior range; close in top 30%; weekly close > 20w SMA and > weekly close 4w ago"", ""exit_condition"": ""forward horizons 1,2,5,10 days"", ""derived_from"": [""nr7_then_range_expansion_breakout"", ""weekly_silent_top_exhaustion""], ""refinement_type"": ""filtered"", ""nr7_lookback"": 7, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.7, ""weekly_ma_lookback"": 20, ""weekly_momentum_lookback"": 4, ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_mixed_nr7_expansion_breakout_with_weekly_uptrend_filter.csv
nr7_then_range_expansion_breakout,daily,fwd_10d,long,74,0.446,64.9,0.446,74,0.446,64.9,-9.277,13.71,2005-06-24,2026-01-02,7497,7772,"{""signal"": ""Day N is an NR7 bar (its high-low range is the narrowest of the last 7 days, inclusive). Day N+1 confirms with a range > 2.0x day N's range AND closes in the top 30% of day N+1's range (bullish expansion). Signal fires on day N+1 (close of expansion day), trading the breakout direction long."", ""field"": ""high, low, close"", ""nr7_lookback"": 7, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.7, ""direction"": ""long on bullish expansion (close in top 30% of day's range)"", ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_daily_nr7_then_range_expansion_breakout.csv
nr7_then_range_expansion_breakout,daily,fwd_5d,long,74,0.415,60.8,0.415,74,0.415,60.8,-5.116,3.799,2005-06-24,2026-01-02,7497,7772,"{""signal"": ""Day N is an NR7 bar (its high-low range is the narrowest of the last 7 days, inclusive). Day N+1 confirms with a range > 2.0x day N's range AND closes in the top 30% of day N+1's range (bullish expansion). Signal fires on day N+1 (close of expansion day), trading the breakout direction long."", ""field"": ""high, low, close"", ""nr7_lookback"": 7, ""expansion_multiplier"": 2.0, ""close_position_threshold"": 0.7, ""direction"": ""long on bullish expansion (close in top 30% of day's range)"", ""forward_days"": [1, 2, 5, 10]}",reports/winners/signals_daily_nr7_then_range_expansion_breakout.csv
weekly_silent_top_exhaustion,weekly,fwd_8d,long,30,0.735,66.7,0.735,30,0.735,66.7,-10.398,10.743,2006-11-19,2025-10-26,6916,7770,"{""signal"": ""Silent top exhaustion: current week prints a new 52-week high, but the weekly range is in the bottom 30th percentile of the last 26 weeks AND the weekly body (|close-open|) is less than 30% of the weekly range. Indicates a new high made on narrow-range, small-body (indecisive) action \u2014 potential exhaustion top."", ""field"": ""open, high, low, close"", ""high_lookback_weeks"": 52, ""range_percentile_lookback_weeks"": 26, ""range_percentile_threshold"": 0.3, ""body_to_range_max_ratio"": 0.3, ""forward_weeks"": [1, 2, 4, 8]}",reports/winners/signals_weekly_weekly_silent_top_exhaustion.csv
